user_id,condition,group
25659,control,A
7509,experimental,B
25674,control,B
25686,experimental,A
25687,control,A
7383,experimental,A
25688,experimental,A
7208,experimental,A
26011,control,B
7505,experimental,A
7504,experimental,B
26024,experimental,B
26023,control,B
26022,experimental,B
26021,experimental,A
7420,experimental,B
26086,control,A
26087,experimental,B
26245,control,B
26246,experimental,B
26258,control,A
6922,control,B
26257,control,B
26256,control,B
8059,control,B
26269,experimental,B
26268,control,A
26279,experimental,B
10224,control,B
7875,experimental,A
6805,experimental,B
5379,experimental,B
26473,experimental,B
7559,control,A
26480,control,A
26485,control,B
26486,control,B
26502,control,A
6915,experimental,B
7434,control,A
5948,experimental,B
26989,experimental,B
26997,experimental,A
26995,control,B
26996,control,B
7190,experimental,A
7556,control,B
27005,control,B
27010,control,B
7553,experimental,A
27025,control,A
27026,experimental,B
43021,control,B
43022,control,B
43023,control,A
43024,experimental,B
43028,experimental,A
43029,control,A
43026,experimental,B
43031,experimental,A
43032,experimental,A
43033,control,A
43036,experimental,B
43035,control,B
43037,experimental,B
43038,control,A
43039,control,B
43046,control,A
43048,experimental,A
43045,control,B
43055,experimental,B
43053,experimental,A
43056,control,A
43054,experimental,B
43058,experimental,B
43059,control,A
43057,control,B
43060,experimental,B
43062,experimental,A
43068,control,A
43070,control,A
43069,control,B
43076,experimental,A
43075,control,A
43074,experimental,A
43137,control,B
43140,experimental,A
43138,experimental,B
43139,control,A
43147,experimental,A
43144,experimental,B
43145,control,A
43146,experimental,B
43151,experimental,A
43153,experimental,B
43150,control,B
43152,control,B
43158,experimental,B
43159,control,B
43160,control,B
43170,experimental,A
43172,experimental,B
43168,control,B
43169,control,B
43437,control,B
43506,experimental,B
43505,experimental,A
43507,control,B
43574,control,A
43655,experimental,A
45202,control,B
45217,control,B
45247,control,A
45370,control,A
45839,experimental,A
45840,experimental,B
45853,experimental,A
45862,experimental,B
45864,control,A
45865,control,A
45863,experimental,B
45877,experimental,A
45874,control,A
45873,control,A
45910,experimental,A
45913,experimental,B
45909,experimental,B
45914,experimental,B
46117,experimental,B
46118,control,A
46132,control,A
46139,experimental,A
46589,experimental,A
46591,control,A
46588,experimental,B
46590,control,A
46597,experimental,B
46598,experimental,B
46599,experimental,A
46604,experimental,A
46605,control,A
46610,experimental,B
46621,experimental,A
46622,experimental,A
46623,control,B
46712,experimental,B
46711,experimental,A
46720,control,B
46736,control,B
46741,experimental,A
46740,experimental,B
46828,control,B
46826,experimental,B
46829,control,B
46844,experimental,B
46846,control,B
46845,experimental,B
46848,experimental,A
46849,control,B
46854,control,B
46856,control,B
46855,control,B
46857,control,A
46864,control,B
46865,experimental,A
46966,control,A
46967,experimental,A
46968,experimental,B
46980,experimental,A
46982,experimental,B
46979,control,A
46981,control,B
46993,control,B
46995,experimental,A
46994,experimental,B
46996,experimental,B
47013,experimental,B
47012,control,A
47011,experimental,B
47021,experimental,B
47149,control,B
47652,control,B
47663,control,A
47805,experimental,B
47799,control,B
47792,control,B
47820,experimental,A
47793,experimental,B
47796,experimental,B
47816,experimental,A
47810,control,B
47818,control,A
47794,control,A
47813,control,A
47790,control,A
47812,control,B
47800,control,B
47821,control,B
47801,experimental,A
47819,control,B
47802,control,A
47815,experimental,B
47804,control,A
47811,experimental,A
47817,control,A
47806,control,B
47807,control,A
47814,control,B
47791,control,A
47809,control,B
47795,experimental,A
47797,control,B
47788,control,B
47798,experimental,A
47789,experimental,A
47822,experimental,B
47942,experimental,A
47939,experimental,B
47936,experimental,A
47933,experimental,A
47945,control,A
47938,control,B
47918,experimental,A
47931,experimental,A
47916,experimental,B
47937,control,A
47917,control,B
47914,experimental,A
47932,control,B
47935,control,A
47929,control,B
47927,experimental,A
47943,experimental,B
47919,control,B
47922,experimental,A
47921,control,A
47946,experimental,B
47920,experimental,B
47925,control,A
47934,control,B
47915,control,A
47923,control,A
47926,control,A
47928,experimental,B
47941,experimental,B
47947,control,A
47940,control,A
48861,experimental,B
48924,experimental,A
51133,control,B
51144,experimental,A
51134,experimental,B
51156,control,B
50870,experimental,A
51151,experimental,A
51161,control,B
51146,experimental,A
51159,control,B
51140,experimental,B
51141,control,A
51154,experimental,A
51136,experimental,A
51152,control,A
51135,experimental,A
51142,control,A
51155,control,B
51162,experimental,A
51157,experimental,A
51147,experimental,A
51139,control,B
7978,experimental,A
51150,control,A
51137,control,B
51148,control,B
51138,experimental,B
51163,experimental,A
51164,experimental,B
51149,experimental,B
51145,control,A
51158,experimental,A
51143,control,A
51153,experimental,A
51377,experimental,B
51395,experimental,B
51388,experimental,B
51385,experimental,B
51386,experimental,B
51384,experimental,B
51374,experimental,B
51392,experimental,A
51370,control,A
51399,experimental,A
51375,experimental,A
51402,control,A
51380,control,A
51373,experimental,A
51393,control,B
51372,experimental,B
51398,control,A
51389,experimental,A
51391,experimental,B
51382,control,A
51378,control,A
51379,experimental,A
51368,control,A
51381,control,B
51387,control,B
51394,control,A
51396,experimental,A
51397,control,B
51371,experimental,A
51390,control,B
51401,experimental,B
51504,control,B
51500,control,A
51503,experimental,A
51517,control,B
51523,control,A
51521,experimental,A
51511,experimental,B
51501,control,B
51527,control,A
51505,experimental,A
51509,experimental,B
51524,experimental,A
51502,control,B
51525,control,A
51506,control,B
51515,experimental,A
51513,experimental,A
51514,control,B
51510,experimental,A
51507,control,B
51508,control,A
51516,experimental,A
51526,experimental,B
51519,control,B
51529,experimental,A
51530,control,B
51522,control,A
51512,experimental,A
51518,experimental,B
51528,control,B
51531,experimental,B
51555,control,B
51539,experimental,A
51546,control,A
51547,control,B
51553,experimental,B
51542,control,A
51543,control,B
51559,control,A
51544,control,B
51538,control,B
51541,control,A
51562,experimental,B
51561,experimental,B
51554,control,B
51563,experimental,B
51548,experimental,A
51564,experimental,A
51558,experimental,A
51545,experimental,B
51560,experimental,A
51549,experimental,B
51551,control,B
51540,experimental,B
51565,experimental,A
51557,experimental,A
51552,control,A
51550,experimental,A
51718,control,A
51722,control,A
51720,control,B
47924,experimental,A
47930,experimental,B
51721,experimental,A
51716,experimental,B
51719,control,B
51736,experimental,A
51737,control,B
51732,control,A
51739,experimental,B
51742,control,B
51757,control,B
51754,control,B
42468,experimental,A
51752,experimental,A
51734,experimental,A
51751,control,B
51758,experimental,A
51733,experimental,A
51759,experimental,A
51747,experimental,A
51744,control,A
51760,experimental,A
51749,experimental,A
51730,control,A
51731,control,B
51741,experimental,A
51748,experimental,A
51755,experimental,B
51750,control,B
51738,experimental,B
51743,experimental,A
51746,experimental,B
51745,control,B
51735,experimental,A
51740,experimental,A
51764,control,B
46827,experimental,B
50177,experimental,B
51756,experimental,A
51762,experimental,B
51753,control,B
50982,control,B
51796,experimental,B
51808,experimental,B
51817,control,A
51806,control,B
51821,experimental,A
51820,experimental,B
51812,experimental,A
51793,control,A
74976,control,B
51816,experimental,B
51815,control,B
51822,experimental,B
51811,experimental,A
51801,control,A
51809,experimental,A
51794,experimental,A
10523,control,A
51819,experimental,B
51795,control,B
51798,control,B
51814,experimental,A
51803,experimental,A
51802,experimental,A
51799,control,A
51826,control,B
